issue_id,clean_text
1,add self loop should add node migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg self loop graph digraph adde silently ignore id like add node even edge isnt adde trac hagberg should change basepy xbasepy trac hagberg fixe trac hagberg add test self loop case trac hagberg finally fixe
2,default edge label xgraph shouldnt migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg xg nxxgraph xgaddedgea add edge should none trac hagberg fixe default data type adjacency list storage graph type now none
3,nee way specify node order adjmatrix spectrumpy migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg right now node order adjacency matrix representation sourcenetworkxtrunknetworkxspectrumpy arbitrary should way specify trac hagberg add nodelist option adjmatrix default entire graph now node order adjacency matrix explicitly specifie one get subset adjacency matrix fixe
4,dijkstra need priority queue migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg dikstra algorithm path sourcenetworkxtrunknetworkxpathspy need priority queue instead stack trac hagberg remove dijkstra test nee add new one reference trac hagberg test dijkstra fixe
5,barabasi albert graph generator broken migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg barabasialbert graph generator doesnt work correctly sourcenetworkxtrunknetworkxgeneratorsrandomgraphspy add new node possible make parallel edge should pick node exist graph without repeat trac hagberg barabasialbert graph could produce parallel edge isolate node rework algorithm choose unique node target fixe
6,karate club example import nx migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg change import networkx trac hagberg update nxnetworkx name change fixe
7,nx instead networkx exampleskarateclubpy migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg exampleskarateclubpy nxgeneratorsclassic import emptygraph trac hagberg fixe
8,dfssuccessor code dfspredecessor migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg searchpy instead vscpredecessor think vscsuccessor neede nsz trac hagberg dfssucessor should call searchsuccessor fixe
9,bug reverse migrate trac httpsnetworkxlanlgovtracticket reporte zeph assigne hagberg dont know python version python fault code case way got package import properly reverse code basepy here error report originally got import networkx nx traceback recent call last file stdin line file systemlibraryframeworkspythonframeworkversionslibpythonsitepackagesnetworkxinitpy line base import graph digraph networkxexception networkxerror file systemlibraryframeworkspythonframeworkversionslibpythonsitepackagesnetworkxbasepy line haddedgesfromvu uv selfedgesiter zeph grunschlag trac nszabolcs bug because networkx suppose work python setuppy haddedgesfromvu uv selfedgesiter python generator expression syntax httpwwwpythonorgdocwhatsnewnodehtml fix creat list haddedgesfromvu uv selfedgesiter defin generator def reviter uv selfedgesiter yield vu haddedgesfromreviter nsz trac hagberg fixe
10,example should fail gracefully migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg draw package arent present pydot graphviz see httpsnetworkxlanlgovdrawinghtml example should fail gracefully
11,nxpydot should use createus argument migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg nxpydot should createus result argument list also code logic should change call emptygraph
12,add interface draw graph layout pygraphviz migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg add interface draw graph layout httpnetworkxlanlgovpygraphviz pygraphviz trac hagberg add interface pygraphviz test initpy attempt import pygraphviz pydot use instead available fixe
13,drawnxpydot nxpylab need refactor migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg drawnxpydot should refactore attempt make generic drawgraphviz work either pydot pygraphviz trac hagberg fixe use drawgraphviz posgraphvizlayoutg interface graphviz library
14,weight arent assigne deg node cluster migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg weight zero deg node must assigne zero weight dictionary clustercluster httpsnetworkxlanlgovwikifilenetworkxtrunknetworkxclusterpy trac hagberg assign weight degree node fixe
15,feature requestion useful little addition ginfo print little summary migrate trac httpsnetworkxlanlgovtracticket reporte bagrowjp assigne hagberg think would handy make small method graph print little nicelyformatte list statistic net get quick overview graph example type undirecte simple number node number edge size byte create see method would call exist format result think would handy interactive prompt networkxrc file similar could use customize what ginfo output let know what thinkbr jim attachment trac bagrowjp networkxinfopyhttpsnetworkxlanlgovtracattachmentticketnetworkxinfopy trac hagberg adde
16,quickref page list isdirecte function migrate trac httpsnetworkxlanlgovtracticket reporte bagrowjp assigne hagberg seems gisdirecte isdirectedg should work should also consistent similar isconnecte trac hagberg add isdirecte functional interface fixe
17,topological broken migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg pathstopologicalsort return none python gnxdigraph gaddedgesfrom pathstopologicalsortrecursive work sourcenetworkxtrunknetworkxpathspy trac hagberg fixe need readability edits
18,error djikstra migrate trac httpsnetworkxlanlgovtracticket reporte sundsdal assigne hagberg djikstra method pathspy error relax neighbour node addition relax add node fringe priority queue check wether fringe may add total runn time would give correct result trac hagberg addresse
19,configuration model should return pseudograph xgraph type migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg configuration model sourcenetworkxtrunknetworkxgeneratorsdegreeseqpy use graph datatype doesnt allow parallel edge self loop typical model use physic community instead xgraphselfloopstruemultiedgestrue type give graph exact degree sequence requeste parallel edge self loop remove desire trac hagberg configuration model now use xgraphmultiedgestrue selfloopstrue return pseudograph result graph exact degree sequence input sequence fixe
20,networkxpathsisdirectedacyclicgraph broken migrate trac httpsnetworkxlanlgovtracticket reporte joeb assigne hagberg think ive found bug networkx two function fail recognize dag here test case import networkx networkxdigraph gaddedgeb globe punditry gaddedgetv coverage punditry gaddedgepersistence punditry gaddedgetv coverage wash post gaddedgepunditry usa today gaddedgewash post punditry print false should true print networkxpathsisdirectedacyclicgraphg print none should print list node print networkxpathstopologicalsortg uncomment see graph networkxdrawingnxpydotwritedotgnewdot get misbehavior best joe trac trac user swart joe fixe latest version available via svn see httpsnetworkxlanlgovwiki brief instruction check latest svn pieter swart
21,getedge multiedge return actual edge list instead copy migrate trac httpsnetworkxlanlgovtracticket reporte dschult assigne dschult multiedge method getedge return actual list selfadj graph manipulation affect returne value potentially well getedge user change list affect graph directly xgraph xdigraph potential trac dschult fixe revision svn
22,add node edge type mapp read routine iopy migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg add function allow node edge mapping type read ascii file get string make string default allow integer suggestion chris myers add gz bz file handl dont store edge copie adjacency list format iopy function should work xgraph type edge data multiedge self loop trac hagberg fixe add type mapp node edge read ascii file add handl gz bz file dont store copie edge undirecte graph readwrite function now work xgraph xdigraph graph type
23,xdigraph sucessorspredecessors doesnt handle multiedge migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg xdigraph neighborssucessorspredecessors doesnt handle multiedge xgraph neighbor problem nxxdigraphmultiedgestrue gaddedge gaddedge gaddedge print gsuccessors print rather trac hagberg digraph predecessor successor neighbor return multiedge self loop typo successor function fixe
24,digraph definition neighbor doesnt work search algorithm migrate trac httpsnetworkxlanlgovtracticket reporte dschult assigne hagberg digraphneighbors return successor predecessor search algorithm code assume neighbor yield successor develope primarily graph possible fixe include chang search algorithm look use neighbor place chang neighbor api digraph return successor chang graph api use successor instead neighbor trac hagberg fixe digraph neighborssucessors add sucessorsiter predecessorsiter xdigraph add test
25,improve shortest path memory usage migrate trac httpsnetworkxlanlgovtracticket reporte jfd assigne hagberg current implementation shortestpath use lot memory construct dict complete path target node understand neccesary specify next node path eg graph abcd instead return like would better say which generator path constructe keep current api python def shortestpathgsourcetargetnonecutoffnone targetsource return trivial path level current level nextlevelsetsource set node check next level pathssourcesource path hash path key source nextlevel thislevelnextlevel nextlevelset thislevel gneighborsv pathshaskeyw pathswv wtarget shortcut target none return pathsw nextleveladdw levellevel trac hagberg add predecessor function def predecessorgsourcetargetfalsecutofffalse return dictionary predecessor path source node optional target return predecessor source target cutoff limit number hop traverse example path graph gpathgraph print gnode predecessorg fixe code build shortest path predecessor dictionary left exercise
26,connecte component friend slow migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg connectedcomponents numberconnectedcomponents slow use code searchpy searchclasspy which isnt optimal rewrite pathsshortestpath trac hagberg spee connectedcomponents associate routine connectedcomponents numberconnectedcomponents connectedcomponetssubgraphs isconnecte nodeconnectedcomponents move searchpy pathspy use efficient shortestpathlength algorithm found should provide substantial speedup fixe
